,exchange_id,ticker,name,sector,industry,country,website
2946,2,A,Agilent Technologies Inc.,Healthcare,Diagnostics & Research,United States,http://www.agilent.com
2947,2,AA,Alcoa Corporation,Basic Materials,Aluminum,United States,http://www.alcoa.com
166,2,AAC,Ares Acquisition Corporation,Financial Services,Shell Companies,United States,http://www.aresacquisitioncorporation.com
7,2,AAC.U,"Ares Acquisition Corporation Units, each consisting of one Class A ordinary share, and one-fifth of",Financial Services,Shell Companies,United States,http://www.aresacquisitioncorporation.com
416,2,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT—Mortgage,United States,http://www.arlingtonasset.com
420,2,AAIN,Arlington Asset Investment Corp. 6.000% Senior Notes Due 2026,,,,
717,2,AAN,"The Aaron's Company, Inc.",Consumer Cyclical,Specialty Retail,United States,http://www.aarons.com
423,2,AAP,ADVANCE AUTO PARTS INC,Consumer Cyclical,Specialty Retail,United States,http://www.advanceautoparts.com
731,2,AAQC,Accelerate Acquisition Corp.,Financial Services,Shell Companies,United States,http://www.xlr8ac.com
732,2,AAQC.U,"Accelerate Acquisition Corp. Units, each consisting of one Class A common stock, and one-third of on",Financial Services,Shell Companies,United States,http://www.xlr8ac.com
586,2,AAT,"AMERICAN ASSETS TRUST, INC.",Real Estate,REIT—Diversified,United States,http://www.americanassetstrust.com
83,2,AB,"AllianceBernstein Holding, L.P.",Financial Services,Asset Management,United States,http://www.alliancebernstein.com
617,2,ABB,ABB Ltd.,Industrials,Electrical Equipment & Parts,Switzerland,http://www.global.abb/group/
631,2,ABBV,ABBVIE INC.,Healthcare,Drug Manufacturers—General,United States,http://www.abbvie.com
68,2,ABC,AmerisourceBergen Corp.,Healthcare,Medical Distribution,United States,http://www.amerisourcebergen.com
2895,2,ABEV,AMBEV S.A.,Consumer Defensive,Beverages—Brewers,Brazil,http://www.ambev.com.br
2862,2,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,United States,http://www.asburyauto.com
2897,2,ABM,"ABM Industries, Inc.",Industrials,Specialty Business Services,United States,http://www.abm.com
2830,2,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT—Mortgage,United States,http://www.arbor.com
674,2,ABT,Abbott Laboratories,Healthcare,Medical Devices,United States,http://www.abbott.com
2840,2,AC,"Associated Capital Group, Inc.",Financial Services,Capital Markets,United States,http://www.associated-capital-group.com
33,2,ACA,"Arcosa, Inc. Common Stock",Industrials,Infrastructure Operations,United States,http://www.arcosa.com
708,2,ACAQ.U,"Athena Consumer Acquisition Corp. Units, each consisting of one share of Class A common stock and on",,,,
737,2,ACC,"American Campus Communities, Inc.",Real Estate,REIT—Residential,United States,http://www.americancampus.com
601,2,ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,United States,http://www.accobrands.com
611,2,ACDI.U,"Ascendant Digital Acquisition Corp. III Units, each consisting of one Class A ordinary share and one",,,,
633,2,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,United States,http://www.accelentertainment.com
673,2,ACH,Alum Corp of China Limited,Basic Materials,Aluminum,China,http://www.chalco.com.cn
697,2,ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,United States,http://www.archer.com
710,2,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,United States,http://www.albertsonscompanies.com
729,2,ACII,Atlas Crest Investment Corp. II,Financial Services,Shell Companies,United States,http://acii.atlascrestcorp.com
733,2,ACII.U,"Atlas Crest Investment Corp. II Units, each consisting of one Class A common stock, $.0001 par value",Financial Services,Shell Companies,United States,http://acii.atlascrestcorp.com
678,2,ACM,Aecom,Industrials,Engineering & Construction,United States,http://www.aecom.com
672,2,ACN,Accenture PLC,Technology,Information Technology Services,Ireland,http://www.accenture.com
592,2,ACP,Aberdeen Income Credit Strategies Fund,Financial Services,Asset Management,United Kingdom,http://www.aberdeenacp.com/
612,2,ACR,ACRES Commercial Realty Corp.,Real Estate,REIT—Mortgage,United States,http://www.acresreit.com
650,2,ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT—Mortgage,United States,http://www.arescre.com
